id,file,relatedattr,label,comment
attribute_0,file_0,,gbifid,
attribute_1,file_0,,datasetkey,
attribute_2,file_0,,occurrenceid,
attribute_3,file_0,,kingdom,
attribute_4,file_0,,phylum,
attribute_5,file_0,,class,
attribute_6,file_0,,order,
attribute_7,file_0,,family,
attribute_8,file_0,,genus,
attribute_9,file_0,,species,
attribute_10,file_0,,infraspecificepithet,
attribute_11,file_0,,taxonrank,
attribute_12,file_0,,scientificname,
attribute_13,file_0,,verbatimscientificname,
attribute_14,file_0,,verbatimscientificnameauthorship,
attribute_15,file_0,,countrycode,
attribute_16,file_0,,locality,
attribute_17,file_0,,stateprovince,
attribute_18,file_0,,occurrencestatus,
attribute_19,file_0,,individualcount,
attribute_20,file_0,,publishingorgkey,
attribute_21,file_0,,decimallatitude,
attribute_22,file_0,,decimallongitude,
attribute_23,file_0,,coordinateuncertaintyinmeters,
attribute_24,file_0,,coordinateprecision,
attribute_25,file_0,,elevation,
attribute_26,file_0,,elevationaccuracy,
attribute_27,file_0,,depth,
attribute_28,file_0,,depthaccuracy,
attribute_29,file_0,,eventdate,
attribute_30,file_0,,day,
attribute_31,file_0,,month,
attribute_32,file_0,,year,
attribute_33,file_0,,taxonkey,
attribute_34,file_0,,specieskey,
attribute_35,file_0,,basisofrecord,
attribute_36,file_0,,institutioncode,
attribute_37,file_0,,collectioncode,
attribute_38,file_0,,catalognumber,
attribute_39,file_0,,recordnumber,
attribute_40,file_0,,identifiedby,
attribute_41,file_0,,dateidentified,
attribute_42,file_0,,license,
attribute_43,file_0,,rightsholder,
attribute_44,file_0,,recordedby,
attribute_45,file_0,,typestatus,
attribute_46,file_0,,establishmentmeans,
attribute_47,file_0,,lastinterpreted,
attribute_48,file_0,,mediatype,
attribute_49,file_0,,issue,
attribute_50,file_1,,gbifid,
attribute_51,file_1,,datasetkey,
attribute_52,file_1,,occurrenceid,
attribute_53,file_1,,kingdom,
attribute_54,file_1,,phylum,
attribute_55,file_1,,class,
attribute_56,file_1,,order,
attribute_57,file_1,,family,
attribute_58,file_1,,genus,
attribute_59,file_1,,species,
attribute_60,file_1,,infraspecificepithet,
attribute_61,file_1,,taxonrank,
attribute_62,file_1,,scientificname,
attribute_63,file_1,,verbatimscientificname,
attribute_64,file_1,,verbatimscientificnameauthorship,
attribute_65,file_1,,countrycode,
attribute_66,file_1,,locality,
attribute_67,file_1,,stateprovince,
attribute_68,file_1,,occurrencestatus,
attribute_69,file_1,,individualcount,
attribute_70,file_1,,publishingorgkey,
attribute_71,file_1,,decimallatitude,
attribute_72,file_1,,decimallongitude,
attribute_73,file_1,,coordinateuncertaintyinmeters,
attribute_74,file_1,,coordinateprecision,
attribute_75,file_1,,elevation,
attribute_76,file_1,,elevationaccuracy,
attribute_77,file_1,,depth,
attribute_78,file_1,,depthaccuracy,
attribute_79,file_1,,eventdate,
attribute_80,file_1,,day,
attribute_81,file_1,,month,
attribute_82,file_1,,year,
attribute_83,file_1,,taxonkey,
attribute_84,file_1,,specieskey,
attribute_85,file_1,,basisofrecord,
attribute_86,file_1,,institutioncode,
attribute_87,file_1,,collectioncode,
attribute_88,file_1,,catalognumber,
attribute_89,file_1,,recordnumber,
attribute_90,file_1,,identifiedby,
attribute_91,file_1,,dateidentified,
attribute_92,file_1,,license,
attribute_93,file_1,,rightsholder,
attribute_94,file_1,,recordedby,
attribute_95,file_1,,typestatus,
attribute_96,file_1,,establishmentmeans,
attribute_97,file_1,,lastinterpreted,
attribute_98,file_1,,mediatype,
attribute_99,file_1,,issue,
attribute_100,file_2,,gbifid,
attribute_101,file_2,,datasetkey,
attribute_102,file_2,,occurrenceid,
attribute_103,file_2,,kingdom,
attribute_104,file_2,,phylum,
attribute_105,file_2,,class,
attribute_106,file_2,,order,
attribute_107,file_2,,family,
attribute_108,file_2,,genus,
attribute_109,file_2,,species,
attribute_110,file_2,,infraspecificepithet,
attribute_111,file_2,,taxonrank,
attribute_112,file_2,,scientificname,
attribute_113,file_2,,verbatimscientificname,
attribute_114,file_2,,verbatimscientificnameauthorship,
attribute_115,file_2,,countrycode,
attribute_116,file_2,,locality,
attribute_117,file_2,,stateprovince,
attribute_118,file_2,,occurrencestatus,
attribute_119,file_2,,individualcount,
attribute_120,file_2,,publishingorgkey,
attribute_121,file_2,,decimallatitude,
attribute_122,file_2,,decimallongitude,
attribute_123,file_2,,coordinateuncertaintyinmeters,
attribute_124,file_2,,coordinateprecision,
attribute_125,file_2,,elevation,
attribute_126,file_2,,elevationaccuracy,
attribute_127,file_2,,depth,
attribute_128,file_2,,depthaccuracy,
attribute_129,file_2,,eventdate,
attribute_130,file_2,,day,
attribute_131,file_2,,month,
attribute_132,file_2,,year,
attribute_133,file_2,,taxonkey,
attribute_134,file_2,,specieskey,
attribute_135,file_2,,basisofrecord,
attribute_136,file_2,,institutioncode,
attribute_137,file_2,,collectioncode,
attribute_138,file_2,,catalognumber,
attribute_139,file_2,,recordnumber,
attribute_140,file_2,,identifiedby,
attribute_141,file_2,,dateidentified,
attribute_142,file_2,,license,
attribute_143,file_2,,rightsholder,
attribute_144,file_2,,recordedby,
attribute_145,file_2,,typestatus,
attribute_146,file_2,,establishmentmeans,
attribute_147,file_2,,lastinterpreted,
attribute_148,file_2,,mediatype,
attribute_149,file_2,,issue,
attribute_150,file_3,,gbifid,
attribute_151,file_3,,datasetkey,
attribute_152,file_3,,occurrenceid,
attribute_153,file_3,,kingdom,
attribute_154,file_3,,phylum,
attribute_155,file_3,,class,
attribute_156,file_3,,order,
attribute_157,file_3,,family,
attribute_158,file_3,,genus,
attribute_159,file_3,,species,
attribute_160,file_3,,infraspecificepithet,
attribute_161,file_3,,taxonrank,
attribute_162,file_3,,scientificname,
attribute_163,file_3,,verbatimscientificname,
attribute_164,file_3,,verbatimscientificnameauthorship,
attribute_165,file_3,,countrycode,
attribute_166,file_3,,locality,
attribute_167,file_3,,stateprovince,
attribute_168,file_3,,occurrencestatus,
attribute_169,file_3,,individualcount,
attribute_170,file_3,,publishingorgkey,
attribute_171,file_3,,decimallatitude,
attribute_172,file_3,,decimallongitude,
attribute_173,file_3,,coordinateuncertaintyinmeters,
attribute_174,file_3,,coordinateprecision,
attribute_175,file_3,,elevation,
attribute_176,file_3,,elevationaccuracy,
attribute_177,file_3,,depth,
attribute_178,file_3,,depthaccuracy,
attribute_179,file_3,,eventdate,
attribute_180,file_3,,day,
attribute_181,file_3,,month,
attribute_182,file_3,,year,
attribute_183,file_3,,taxonkey,
attribute_184,file_3,,specieskey,
attribute_185,file_3,,basisofrecord,
attribute_186,file_3,,institutioncode,
attribute_187,file_3,,collectioncode,
attribute_188,file_3,,catalognumber,
attribute_189,file_3,,recordnumber,
attribute_190,file_3,,identifiedby,
attribute_191,file_3,,dateidentified,
attribute_192,file_3,,license,
attribute_193,file_3,,rightsholder,
attribute_194,file_3,,recordedby,
attribute_195,file_3,,typestatus,
attribute_196,file_3,,establishmentmeans,
attribute_197,file_3,,lastinterpreted,
attribute_198,file_3,,mediatype,
attribute_199,file_3,,issue,
attribute_200,file_4,,proj_raster_path,
attribute_201,file_4,,proj_raster,
attribute_202,file_5,,proj_raster_path,
attribute_203,file_5,,proj_raster,
attribute_204,file_6,,proj_raster_path,
attribute_205,file_6,,proj_raster,
attribute_206,file_7,,proj_raster_path,
attribute_207,file_7,,proj_raster,
attribute_208,file_8,,proj_raster_path,
attribute_209,file_8,,proj_raster,
attribute_210,file_9,,proj_raster_path,
attribute_211,file_9,,proj_raster,
attribute_212,file_10,,proj_raster_path,
attribute_213,file_10,,proj_raster,
attribute_214,file_11,,proj_raster_path,
attribute_215,file_11,,proj_raster,
attribute_216,file_12,,proj_raster_path,
attribute_217,file_12,,proj_raster,
attribute_218,file_13,,proj_raster_path,
attribute_219,file_13,,proj_raster,
attribute_220,file_14,,proj_raster_path,
attribute_221,file_14,,proj_raster,
attribute_222,file_15,,proj_raster_path,
attribute_223,file_15,,proj_raster,
attribute_224,file_16,,proj_raster_path,
attribute_225,file_16,,proj_raster,
attribute_226,file_17,,proj_raster_path,
attribute_227,file_17,,proj_raster,
attribute_228,file_18,,proj_raster_path,
attribute_229,file_18,,proj_raster,
attribute_230,file_19,,proj_raster_path,
attribute_231,file_19,,proj_raster,
attribute_232,file_20,,proj_raster_path,
attribute_233,file_20,,proj_raster,
attribute_234,file_21,,proj_raster_path,
attribute_235,file_21,,proj_raster,
attribute_236,file_22,,proj_raster_path,
attribute_237,file_22,,proj_raster,
attribute_238,file_23,,proj_raster_path,
attribute_239,file_23,,proj_raster,
attribute_240,file_24,,proj_raster_path,
attribute_241,file_24,,proj_raster,
attribute_242,file_25,,proj_raster_path,
attribute_243,file_25,,proj_raster,
attribute_244,file_26,,proj_raster_path,
attribute_245,file_26,,proj_raster,
attribute_246,file_27,,proj_raster_path,
attribute_247,file_27,,proj_raster,
attribute_248,file_28,,proj_raster_path,
attribute_249,file_28,,proj_raster,
attribute_250,file_29,,proj_raster_path,
attribute_251,file_29,,proj_raster,
attribute_252,file_30,,proj_raster_path,
attribute_253,file_30,,proj_raster,
attribute_254,file_31,,proj_raster_path,
attribute_255,file_31,,proj_raster,
attribute_256,file_32,,proj_raster_path,
attribute_257,file_32,,proj_raster,
attribute_258,file_33,,proj_raster_path,
attribute_259,file_33,,proj_raster,
attribute_260,file_34,,proj_raster_path,
attribute_261,file_34,,proj_raster,
attribute_262,file_35,,proj_raster_path,
attribute_263,file_35,,proj_raster,
attribute_264,file_36,,proj_raster_path,
attribute_265,file_36,,proj_raster,
attribute_266,file_37,,proj_raster_path,
attribute_267,file_37,,proj_raster,
attribute_268,file_38,,proj_raster_path,
attribute_269,file_38,,proj_raster,
attribute_270,file_39,,proj_raster_path,
attribute_271,file_39,,proj_raster,
attribute_272,file_40,,proj_raster_path,
attribute_273,file_40,,proj_raster,
attribute_274,file_41,,proj_raster_path,
attribute_275,file_41,,proj_raster,
attribute_276,file_42,,proj_raster_path,
attribute_277,file_42,,proj_raster,
attribute_278,file_43,,proj_raster_path,
attribute_279,file_43,,proj_raster,
attribute_280,file_44,,proj_raster_path,
attribute_281,file_44,,proj_raster,
attribute_282,file_45,,proj_raster_path,
attribute_283,file_45,,proj_raster,
attribute_284,file_46,,proj_raster_path,
attribute_285,file_46,,proj_raster,
attribute_286,file_47,,proj_raster_path,
attribute_287,file_47,,proj_raster,
attribute_288,file_48,,proj_raster_path,
attribute_289,file_48,,proj_raster,
attribute_290,file_49,,proj_raster_path,
attribute_291,file_49,,proj_raster,
attribute_292,file_50,,proj_raster_path,
attribute_293,file_50,,proj_raster,
attribute_294,file_51,,proj_raster_path,
attribute_295,file_51,,proj_raster,
attribute_296,file_52,,proj_raster_path,
attribute_297,file_52,,proj_raster,
attribute_298,file_53,,proj_raster_path,
attribute_299,file_53,,proj_raster,
attribute_300,file_54,,proj_raster_path,
attribute_301,file_54,,proj_raster,
attribute_302,file_55,,proj_raster_path,
attribute_303,file_55,,proj_raster,
attribute_304,file_56,,proj_raster_path,
attribute_305,file_56,,proj_raster,
attribute_306,file_57,,proj_raster_path,
attribute_307,file_57,,proj_raster,
attribute_308,file_58,,proj_raster_path,
attribute_309,file_58,,proj_raster,
attribute_310,file_59,,proj_raster_path,
attribute_311,file_59,,proj_raster,
attribute_312,file_60,,proj_raster_path,
attribute_313,file_60,,proj_raster,
attribute_314,file_61,,proj_raster_path,
attribute_315,file_61,,proj_raster,
attribute_316,file_62,,proj_raster_path,
attribute_317,file_62,,proj_raster,
attribute_318,file_63,,proj_raster_path,
attribute_319,file_63,,proj_raster,
attribute_320,file_64,,proj_raster_path,
attribute_321,file_64,,proj_raster,
attribute_322,file_65,,proj_raster_path,
attribute_323,file_65,,proj_raster,
attribute_324,file_66,,proj_raster_path,
attribute_325,file_66,,proj_raster,
attribute_326,file_67,,proj_raster_path,
attribute_327,file_67,,proj_raster,
attribute_328,file_68,,proj_raster_path,
attribute_329,file_68,,proj_raster,
attribute_330,file_69,,proj_raster_path,
attribute_331,file_69,,proj_raster,
attribute_332,file_70,,proj_raster_path,
attribute_333,file_70,,proj_raster,
attribute_334,file_71,,proj_raster_path,
attribute_335,file_71,,proj_raster,
attribute_336,file_72,,proj_raster_path,
attribute_337,file_72,,proj_raster,
attribute_338,file_73,,proj_raster_path,
attribute_339,file_73,,proj_raster,
attribute_340,file_74,,proj_raster_path,
attribute_341,file_74,,proj_raster,
attribute_342,file_75,,proj_raster_path,
attribute_343,file_75,,proj_raster,
attribute_344,file_76,,proj_raster_path,
attribute_345,file_76,,proj_raster,
attribute_346,file_77,,proj_raster_path,
attribute_347,file_77,,proj_raster,
attribute_348,file_78,,proj_raster_path,
attribute_349,file_78,,proj_raster,
attribute_350,file_79,,proj_raster_path,
attribute_351,file_79,,proj_raster,
attribute_352,file_80,,proj_raster_path,
attribute_353,file_80,,proj_raster,
attribute_354,file_81,,proj_raster_path,
attribute_355,file_81,,proj_raster,
attribute_356,file_82,,proj_raster_path,
attribute_357,file_82,,proj_raster,
attribute_358,file_83,,proj_raster_path,
attribute_359,file_83,,proj_raster,
attribute_360,file_84,,proj_raster_path,
attribute_361,file_84,,proj_raster,
attribute_362,file_85,,proj_raster_path,
attribute_363,file_85,,proj_raster,
attribute_364,file_86,,proj_raster_path,
attribute_365,file_86,,proj_raster,
attribute_366,file_87,,proj_raster_path,
attribute_367,file_87,,proj_raster,
attribute_368,file_88,,proj_raster_path,
attribute_369,file_88,,proj_raster,
attribute_370,file_89,,proj_raster_path,
attribute_371,file_89,,proj_raster,
attribute_372,file_90,,proj_raster_path,
attribute_373,file_90,,proj_raster,
attribute_374,file_91,,proj_raster_path,
attribute_375,file_91,,proj_raster,
attribute_376,file_92,,proj_raster_path,
attribute_377,file_92,,proj_raster,
attribute_378,file_93,,proj_raster_path,
attribute_379,file_93,,proj_raster,
attribute_380,file_94,,proj_raster_path,
attribute_381,file_94,,proj_raster,
attribute_382,file_95,,proj_raster_path,
attribute_383,file_95,,proj_raster,
attribute_384,file_96,,proj_raster_path,
attribute_385,file_96,,proj_raster,
attribute_386,file_97,,proj_raster_path,
attribute_387,file_97,,proj_raster,
attribute_388,file_98,,proj_raster_path,
attribute_389,file_98,,proj_raster,
attribute_390,file_99,,proj_raster_path,
attribute_391,file_99,,proj_raster,
attribute_392,file_100,,proj_raster_path,
attribute_393,file_100,,proj_raster,
attribute_394,file_101,,proj_raster_path,
attribute_395,file_101,,proj_raster,
attribute_396,file_102,,proj_raster_path,
attribute_397,file_102,,proj_raster,
attribute_398,file_103,,proj_raster_path,
attribute_399,file_103,,proj_raster,
attribute_400,file_104,,proj_raster_path,
attribute_401,file_104,,proj_raster,
attribute_402,file_105,,proj_raster_path,
attribute_403,file_105,,proj_raster,
attribute_404,file_106,,proj_raster_path,
attribute_405,file_106,,proj_raster,
attribute_406,file_107,,proj_raster_path,
attribute_407,file_107,,proj_raster,
attribute_408,file_108,,proj_raster_path,
attribute_409,file_108,,proj_raster,
attribute_410,file_109,,proj_raster_path,
attribute_411,file_109,,proj_raster,
attribute_412,file_110,,proj_raster_path,
attribute_413,file_110,,proj_raster,
attribute_414,file_111,,proj_raster_path,
attribute_415,file_111,,proj_raster,
