id,table,datatype,originalAttr,foreignKey,label,comment
column_0,background,string,,,species,Name of the species of interest or 'background'
column_1,background,string,,,longitude,Latitude (WGS 84)
column_2,background,string,,,latitude,Longitude (WGS 84)
column_3,background,string,file_3035,,tmin,Minimum temperature (°C) from WorldClim
column_4,background,string,file_3011,,tmax,Maximum temperature (°C) from WorldClim
column_5,background,string,file_2987,,tavg,Average temperature (°C) from WorldClim
column_6,background,string,file_2939,,prec,Precipitation (mm) from WorldClim
column_7,background,string,file_2963,,srad,Solar radiation (kJ m^{-2} day^{-1}) from WorldClim
column_8,background,string,file_3083,,wind,Wind speed (m s^{-1}) from WorldClim
column_9,background,string,file_3059,,vapr,Water vapor pressure (kPa) from WorldClim
column_10,background,string,file_2913,,bio,Mean Temperature of Driest Quarter from WorldClim
column_11,background,string,file_2915,,elev,Elevation from WorldClim
column_12,background,string,file_268,,SRTM_RAMP2_TOPO,Topography from NEO
column_13,background,string,file_268,,MOD_LSTD_M,Montly Land Surface Temperature [day] from NEO
column_14,samples,string,file_3,,species,Name of the species of interest or 'background'
column_15,samples,float,file_3,,longitude,Latitude (WGS 84)
column_16,samples,float,file_3,,latitude,Longitude (WGS 84)
column_17,samples,float,file_3035,,tmin,Minimum temperature (°C) from WorldClim
column_18,samples,float,file_3011,,tmax,Maximum temperature (°C) from WorldClim
column_19,samples,float,file_2987,,tavg,Average temperature (°C) from WorldClim
column_20,samples,float,file_2939,,prec,Precipitation (mm) from WorldClim
column_21,samples,float,file_2963,,srad,Solar radiation (kJ m^{-2} day^{-1}) from WorldClim
column_22,samples,float,file_3083,,wind,Wind speed (m s^{-1}) from WorldClim
column_23,samples,float,file_3059,,vapr,Water vapor pressure (kPa) from WorldClim
column_24,samples,float,file_2913,,bio,Mean Temperature of Driest Quarter from WorldClim
column_25,samples,float,file_2915,,elev,Elevation from WorldClim
column_26,samples,float,file_268,,SRTM_RAMP2_TOPO,Topography from NEO
column_27,samples,float,file_268,,MOD_LSTD_M,Montly Land Surface Temperature [day] from NEO
